1: id,2: submitdate,3: lastpage,4: startlanguage,5: seed,6: startdate,7: datestamp,8: DemQ01,9: DemQ02,10: DemQ03,11: DemQ04,12: DemQ07[SQ001],13: DemQ07[SQ002],14: G01Q31,15: DemG055[SQ001],16: DemG055[SQ002],17: DemQ05,18: DemQ05[other],19: DemQ06,20: DemQ51[SQ001],21: DemQ51[SQ002],22: DemQ51[SQ003],23: DemQ51[SQ004],24: DemQ51[SQ005],25: DemQ51[SQ006],26: LitQ01[SQ001],27: LitQ01[SQ002],28: LitQ01[SQ003],29: LitQ01[SQ004],30: LitQ01[SQ005],31: LitQ01[SQ006],32: LitQ01[SQ007],33: LitQ01[SQ008],34: LitQ01[SQ009],35: LitQ01[SQ010],36: LitQ01[SQ011],37: LitQ01[SQ012],38: LitQ01[SQ013],39: LitQ01[SQ014],40: LitQ01[SQ015],41: UseQ01[SQ001],42: UseQ02,43: GTCQ01[SQ001],44: GTCQ01[SQ002],45: GTCQ01[SQ003],46: GTCQ01[SQ004],47: GTCQ01[SQ005],48: GTCQ02[SQ001],49: GTCQ02[SQ002],50: GTCQ02[SQ003],51: GTCQ02[SQ004],52: GTCQ02[SQ005],53: ILQ01[SQ001],54: ILQ01[SQ002],55: ILQ01[SQ003],56: ILQ01[SQ004],57: ILQ01[SQ005],58: ILQ01[SQ006],59: ILQ01[SQ007],60: ILQ01[SQ008],61: ILQ01[SQ009],62: ILQ01[SQ010],63: ILQ01[SQ011],64: ILQ01[SQ012],65: ILQ01[SQ013],66: ILQ01[SQ014],67: ILQ01[SQ015],68: WrittQ01[SQ001],69: WrittQ01[SQ002],70: OrgQ01[SQ001],71: OrgQ01[SQ002],72: OrgQ01[SQ003],73: OrgQ01[SQ004],74: OrgQ01[SQ005],75: OrgQ01[SQ006],76: OrgQ01[SQ007],77: OrgQ01[SQ008],78: CommQ01[SQ001],79: CommQ01[SQ002],80: CommQ01[SQ003],81: CommQ01[SQ004],82: CommQ01[SQ005],83: CommQ01[SQ006],84: CommQ01[SQ007],85: PEUQ01[SQ001],86: PEUQ01[SQ002],87: PEUQ01[SQ003],88: PEUQ01[SQ004],89: PEUQ01[SQ005],90: PEUQ01[SQ006],91: PUQ01[SQ001],92: PUQ01[SQ002],93: PUQ01[SQ003],94: PUQ01[SQ004],95: PUQ01[SQ005],96: PUQ01[SQ006],97: PUQ01[SQ007],98: OpenQ01,99: OpenQ02,100: G10Q28,101: interviewtime,102: groupTime30404,103: groupTime30405,104: groupTime30406,105: groupTime31251,106: groupTime30407,107: groupTime30408,108: groupTime30409,109: groupTime30410,110: groupTime30411,111: groupTime31270
20,2025,10.0,en,1543450556,2025,2025,Male,25.0,Employee,IT-Governance / Consulting,Half-time,Half-time,3.0,3.0,1.0,Entry-level,,2,2,1,2,3,4,5,6,6,4,5,4,4,6,5,5,6,6,5,3,3,3,Every time I need help,"Coding, Q&A",5,5,5,5.0,4.0,4,5,5,4,4,5,4,5,5,5,3,5,4,4,2,2,4,3,5,5,sometimes,never,sometimes,rarely,often,sometimes,often,sometimes,often,rarely,rarely,rarely,rarely,sometimes,rarely,never,rarely,6,5,5,6,6,6,7,7,7,6,6,7,5,Automated Textual Analysis / Supported Strategic Decision Making,,,1169.25,164.63,344.23,31.91,68.31,141.45,193.52,63.53,40.95,115.9,4.82
21,2025,10.0,en,741938233,2025,2025,Female,28.0,Employee,IT,Half-time,Full-time,5.0,1.0,0.0,Mid-level,,6,3,2,3,5,4,4,3,4,2,3,2,2,3,5,5,5,3,5,2,2,4,Multiple times a week,,2,1,3,4.0,4.0,7,7,2,2,2,5,4,4,2,5,5,2,2,6,6,6,4,6,6,5,always,always,always,sometimes,often,always,sometimes,often,often,rarely,rarely,rarely,rarely,rarely,rarely,rarely,rarely,5,5,5,5,5,5,5,3,3,3,2,5,2,"Summarizing, write communication in different styles e.g as post, stakeholder information, management update ",No sources ,,854.09,298.71,96.72,19.44,58.46,103.98,81.1,26.93,111.27,49.7,7.78
23,2025,10.0,en,638818344,2025,2025,Female,26.0,Employee,Procurement,No,Half-time,0.0,0.0,0.0,Entry-level,,2,3,2,1,3,3,3,4,5,5,5,4,5,3,2,5,4,3,4,3,2,4,Multiple times a day,"I use it to optimize my written communication,  for „brainstorming“, for explanation of new topics and how to handle them in an order that’s making sense.  ",4,3,3,2.0,3.0,5,4,5,5,5,4,5,6,5,4,5,6,6,5,4,3,4,4,6,6,sometimes,often,sometimes,never,sometimes,often,often,sometimes,often,sometimes,often,often,often,often,never,never,never,6,6,6,6,5,5,6,6,6,6,6,6,4,When I’m new to a project I like to use LLMs to get a first idea of important aspects that need to be considered.,"I have no real example, but I’m aware not to take sensible information serious without deeper research. ",It’s a very interesting research field and I wish you all the best with your survey. ,997.4,101.05,87.42,165.73,104.74,113.61,166.36,48.81,24.72,157.93,27.03
26,2025,10.0,en,281614417,2025,2025,Male,25.0,Student,"Study robotics and AI and work, SAP Analyst",Full-time,Half-time,3.5,2.0,5.0,Entry-level,,6,1,1,1,2,5,4,6,6,6,5,5,6,6,6,6,6,5,5,4,4,5,Multiple times a day,"Asking the GPT for information about a certain topic in school or work so it can give me a good layout of what I need to research. Help with paraphrasing emails, paragraphs in papers and such. And also talk about personal matters or if I need help and information is not easily available ",7,5,3,2.0,4.0,7,7,5,6,6,6,6,6,5,6,5,6,6,5,5,6,6,4,3,5,rarely,never,rarely,sometimes,never,rarely,sometimes,often,sometimes,rarely,rarely,rarely,never,rarely,often,never,never,7,6,7,6,7,7,7,7,7,7,7,7,4,"How sometimes the solution I come up with is missing important aspects that could break the pipeline, but consulting with an LLM beforehand has helped me take cases I did not think of in mind.","When the memory of the LLM gets too full and it starts confusing data that is important with useless information and I almost broke a system because I did not pay close attention to the output generated by the LLM
","Some questions can be left to interpretation as in for my case of entry-level, fully remote job I don't take administrative decisions or propose them or spend a lot of time in contact with my team so it should allow the participant to also consider the case of working with student colleagues in projects or assignments.  ",766.45,126.6,56.5,100.17,32.74,69.74,94.0,19.85,15.22,133.09,118.54
27,2025,10.0,en,46589500,2025,2025,Male,27.0,Student,Business Administration ,Full-time,Half-time,2.0,1.0,1.0,Entry-level,,6,1,1,1,1,3,3,4,4,5,5,5,6,2,3,4,5,4,3,4,3,5,Every day,As an helpful assistant ,5,2,6,2.0,3.0,6,7,1,6,4,4,5,4,4,6,4,5,5,2,4,2,5,3,5,4,often,often,rarely,rarely,rarely,rarely,sometimes,sometimes,rarely,sometimes,rarely,sometimes,sometimes,rarely,rarely,sometimes,sometimes,5,3,5,5,5,5,5,6,6,6,5,6,3,Sometimes AI is more empathetic than doctors (Chat GPT always tries to solve problems and listens closely),It often gives wrong answers in the field of mathematics ,,2145.63,179.11,112.93,55.69,70.76,1005.2,359.91,101.55,34.99,222.43,3.06
28,2025,10.0,en,1482699411,2025,2025,Male,26.0,Student,Computer Science,Full-time,Half-time,2.0,3.0,0.0,Mid-level,,2,1,1,1,2,4,3,5,4,4,6,5,6,6,6,6,6,4,5,6,5,5,Every day,Code Generation/Code Suggestions,3,6,1,2.0,3.0,5,7,5,2,5,6,6,2,5,4,3,2,3,5,5,5,4,5,4,4,often,rarely,often,never,sometimes,rarely,sometimes,sometimes,never,rarely,never,never,never,never,never,never,never,7,5,6,5,7,5,7,7,7,7,7,7,4,,,,635.26,154.09,129.79,64.83,87.02,71.57,69.8,21.08,17.98,7.4,11.7
29,2025,10.0,en,907303925,2025,2025,Male,27.0,Student,Computer Science,Full-time,No,2.0,0.0,0.0,Mid-level,,1 (I work alone),1,1,1,1,5,3,6,2,1,1,1,1,4,4,4,4,3,2,5,5,5,Once a month,Write introductions or texts about general topics,1,1,1,2.0,2.0,5,5,6,3,5,5,1,1,3,4,3,2,6,5,5,5,4,3,3,4,sometimes,never,sometimes,never,sometimes,sometimes,often,often,never,rarely,never,never,never,never,never,never,never,4,4,4,4,4,4,2,2,2,2,2,2,3,"Solve repetitive homework tasks. Write general essays, etc...",Cheating in an exam,,751.32,110.19,93.27,58.73,52.4,138.32,124.01,39.35,18.37,109.51,7.17
31,2025,10.0,en,1742074059,2025,2025,Male,28.0,Employee,Consulting (M&A),No,Full-time,1.0,0.0,8.0,Entry-level,,2,2,2,3,3,3,3,5,5,5,5,5,5,4,4,5,5,4,4,4,4,6,Multiple times a day,"Improve writing, translation, gather ideas, learn about new topics/concepts do work, privately for recipes and medicines ",5,3,3,4.0,3.0,5,3,3,4,4,6,6,6,5,6,5,5,5,6,4,5,5,5,6,6,sometimes,sometimes,often,rarely,sometimes,often,often,often,sometimes,sometimes,rarely,rarely,often,rarely,sometimes,sometimes,often,6,6,5,5,5,6,7,7,7,7,7,7,4,Solve repetitive tasks with long lists fast and reliable,AI making up information when creativity level in the parameter settings is set to high,,950.66,204.94,110.17,81.6,73.52,167.33,173.02,29.72,27.2,77.95,5.21
37,2025,10.0,en,573931910,2025,2025,Female,25.0,Student,Fashion ,Full-time,No,2.0,1.0,12.0,Other,intern,11,2,1,1,2,2,1,5,5,5,5,5,5,4,5,5,5,5,5,5,3,4,Multiple times a week,"For E-mails, explaining some definitions, to find a specific concept",6,6,1,6.0,6.0,3,3,3,3,3,4,2,6,6,4,3,5,2,4,4,4,4,3,4,4,rarely,sometimes,sometimes,sometimes,rarely,rarely,sometimes,sometimes,rarely,rarely,never,never,never,never,never,never,never,7,7,7,7,7,7,5,5,5,5,5,6,5,"the various examples, structures and new ideas. ",you get used to it and the next time you just immediately rely on LLMS. ,no,1042.42,204.49,150.01,76.36,58.11,169.8,157.79,41.52,38.34,140.05,5.95
38,2025,10.0,en,1623929092,2025,2025,Male,59.0,Employee,Capital equipment ,No,Full-time,30.0,28.0,9.0,Senior-level,,6,4,1,3,3,5,4,5,5,5,5,5,5,3,4,5,5,4,6,4,4,3,Multiple times a week,Market research and proper texts,5,5,5,5.0,5.0,6,5,4,6,6,5,4,4,4,5,2,4,3,3,4,4,4,3,2,3,never,never,often,always,sometimes,sometimes,often,sometimes,sometimes,sometimes,rarely,rarely,rarely,rarely,sometimes,sometimes,sometimes,5,5,5,6,5,6,7,7,7,7,7,7,4,Market research ,Trust,,945.77,164.72,138.36,56.87,69.41,126.05,129.78,167.22,37.08,51.31,4.97
39,2025,10.0,en,347590834,2025,2025,Male,58.0,Self-employed,Air-conditioning ,No,Full-time,32.0,26.0,9.0,Executive,,2,5,5,4,5,5,5,1,1,1,1,1,1,2,2,1,2,3,3,2,2,3,Never,,4,5,5,5.0,4.0,5,5,5,5,5,6,1,1,1,6,5,1,6,5,4,5,6,6,5,6,sometimes,never,often,sometimes,sometimes,sometimes,sometimes,often,rarely,never,sometimes,rarely,sometimes,rarely,never,rarely,never,4,4,4,4,5,4,5,5,5,5,5,5,4,Not apply due of no use yet,Not to ask if the solution propose is right.  To loose criteria ,No,1040.34,194.04,118.61,19.77,91.81,129.83,241.43,55.99,61.81,111.42,15.63
40,2025,10.0,en,1586404388,2025,2025,Female,55.0,Employee,Fish industry ,No,Full-time,25.0,22.0,2.0,Executive,,2,4,5,5,5,5,5,3,4,4,4,4,3,4,5,4,4,5,5,3,2,5,Once a week,,4,4,3,4.0,3.0,4,5,5,4,4,6,4,5,4,5,4,5,5,5,6,5,5,4,5,5,often,sometimes,always,sometimes,often,often,often,often,sometimes,rarely,sometimes,sometimes,sometimes,rarely,sometimes,often,sometimes,5,5,5,5,5,5,6,5,6,5,4,5,4,"When I don’t know how to start with a topic, it is a useful toll.",,,1078.86,188.72,136.29,31.73,62.83,132.25,156.73,47.23,44.97,256.72,21.39
41,2025,10.0,en,2147211725,2025,2025,Female,58.0,Employee,Banking ,No,Full-time,34.0,12.0,6.0,Senior-level,,11,3,1,2,3,2,1,3,3,3,3,4,3,3,4,4,4,5,5,4,2,2,Multiple times a week,To extract information from 300 sides contracts. ,2,3,5,5.0,6.0,6,6,2,4,4,6,5,5,5,6,4,5,5,5,5,5,5,5,5,5,rarely,rarely,often,rarely,sometimes,sometimes,sometimes,sometimes,rarely,sometimes,often,often,often,sometimes,often,rarely,rarely,4,5,5,5,5,5,5,5,5,5,5,5,4,No specific ,No specific ,,12960.4,212.71,12181.7,94.45,81.95,132.82,130.22,37.71,29.88,41.63,17.41
42,2025,10.0,en,152030920,2025,2025,Female,29.0,Student,Marketing,Full-time,No,5.0,3.0,0.0,Mid-level,,2,3,4,4,5,5,5,6,6,6,6,6,6,4,4,4,4,5,5,4,4,5,Multiple times a week,"Brainstorming, finding sources, image generation, text enhancement ",3,3,3,2.0,4.0,5,6,3,6,6,6,2,6,6,4,2,3,5,6,5,5,6,3,6,6,rarely,rarely,often,often,often,often,often,sometimes,sometimes,often,sometimes,sometimes,sometimes,sometimes,sometimes,rarely,rarely,6,5,5,4,5,4,7,7,7,7,7,7,4,Idea generation on how to solve a problem or to create a certain strategy for a goal,Have not encountered one ,,524.55,96.9,51.98,60.83,52.22,88.16,82.91,24.26,24.52,38.6,4.17
43,2025,10.0,en,36171849,2025,2025,Female,41.0,Self-employed,IT/AI,No,Full-time,5.0,5.0,0.0,Other,"Dunno, freelance-self-employed. So, boss? :-P",1 (I work alone),3,4,1,4,5,4,6,5,5,6,6,6,6,6,5,4,6,6,5,5,5,Multiple times a day,"Code, 80% is code.
PS: As I don't know if there will be another free text field: Yes, I can detect AI's patterns in text **IF** AI isn't explicitly prompted to predict differently. The gerundial pretrained transformer endorses infinite clause. ;-) Other than that, it depends; do I get multiple turns? Then I'd ask the unknown other to play a game of Hangman. Which involves having a word 'in mind' that must not be revealed (predicted). LLM naturally fail at that, and can't figure out why I 'won' hangman with the word ""GANEFAM"". Will respond with ""I am sorry for the confusion, it appears I made a mistake, let's try that again!"" to question ""What does that word even mean?"". lol AI. So, if multiple turns and I can ask what I want, yes, I can reliably detect an LLM / tell it apart from human. Unless a human fakes being unable to have a word 'in mind' without revealing it. ;-)",5,6,3,5.0,5.0,1,1,1,1,1,5,6,6,6,5,3,6,6,1,1,1,4,3,1,4,sometimes,rarely,often,never,never,sometimes,never,sometimes,rarely,rarely,never,never,never,never,never,never,never,7,6,6,6,6,6,5,5,5,5,6,7,4,"There isn't a single example of this. It's impressive AI knows every Python library in existence (and can suggest using a more suitable package, provided I pretend I don't know what to use and 'hide' than information from LLM). But o3 is pretty impressive (in coding). It's great at finding bugs by reasoning. But needs good prompting and e.g. information about what is known / what didn't work. Best make a prompt, then give it to GPT-4o like ""Is this a good prompt for you, is anything ambiguous or unclear?"" -> let AI review the prompt for the AI before passing it to o3. But then, o3 can often solve complicated clusterfucks that had me scratching my head!","Very sophisticated bullshitting. Code that works (executes without throwing an error) but doesn't do what it was supposed to do, but just some weird complex AI hallucination.
But it's no more concerning than a human dunning-kruger effect (self-blindness or unwillingness to admit not knowing) when an LLM is unable to 'know what it doesn't know'.
At least LLM are just spheres of token probability soup without intent, so there's no ""knowledge hiding"" or ""deliberate sabotaging"" going on. It's quite liberating to be able to assume no malign intent confidently, because that *is* always the case in LLM. They just sample a text from their logits. And alas, even AI screwing up is a laughing matter, a ""lmao AI holy shit this is such a sophisticated nonsensical bullshit, I almost fell for it!"". No assuming ""maybe the AI wants to sabotage me because it wants me to lose my job and do my job itself"". AI doesn't want anything. Neither my benefit nor my failure. Good AI! =)","AI are the best coworkers I can imagine. Even when they're sometimes my Professors, and sometimes my interns (failing in a hallucintrippy confusion, haha).",1170.06,77.01,59.04,313.61,38.27,65.28,73.97,17.67,18.55,450.7,55.96
44,2025,10.0,en,490553486,2025,2025,Female,25.0,Student,Film ,Full-time,No,3.0,0.0,8.0,Entry-level,,11,5,1,2,5,5,5,1,3,2,2,4,5,5,5,4,5,3,5,6,5,4,Multiple times a month,"Mainly for translation purposes and feedback on my ideas, as well as movie references when I have a solid story idea",3,1,5,4.0,2.0,7,7,3,4,5,6,6,6,5,6,6,6,5,6,6,6,6,6,6,6,rarely,never,sometimes,rarely,often,often,always,often,never,never,sometimes,sometimes,sometimes,sometimes,often,rarely,sometimes,6,5,5,6,5,6,5,5,4,6,4,5,4,The feedback I can get from scripts and that LLMs actually give me good ideas ,"The same, they’re also creative ",,688.49,120.63,95.05,47.0,50.29,100.76,151.34,24.6,30.06,62.88,5.88
46,2025,10.0,en,808146712,2025,2025,Female,52.0,Employee,Software,No,Full-time,25.0,14.0,1.0,Senior-level,,11,3,1,3,3,4,5,3,4,3,3,3,3,3,3,4,4,2,2,3,4,4,Once a month,,2,2,2,4.0,2.0,6,4,3,5,6,5,1,1,1,5,5,2,5,6,6,4,5,5,5,5,often,rarely,often,sometimes,sometimes,never,sometimes,often,sometimes,sometimes,sometimes,often,often,often,often,rarely,sometimes,4,4,4,5,4,5,4,4,4,4,4,4,3,,,,816.93,156.08,104.03,15.48,110.06,156.91,137.65,43.56,68.61,18.3,6.25
48,2025,10.0,en,1619278005,2025,2025,Female,28.0,Employee,Finance,No,Full-time,1.0,1.0,2.0,Mid-level,,11,5,4,4,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,Multiple times a day,"Ideas, criticism, formulation, coding, brainstorming, formalising texts and Jira tickets, images and presentations,...",1,3,5,5.0,3.0,6,6,7,7,7,6,4,5,6,3,5,3,4,5,2,4,2,4,6,5,often,sometimes,always,often,often,often,often,often,often,often,often,often,often,often,often,never,often,7,7,7,5,7,7,7,6,7,7,7,7,4,Transcribing images of post of walls is a game changer:),People not verifying whether the answer actually comes from the sources in critical tasks. ,,429.55,59.23,35.47,54.74,38.16,48.25,100.02,15.69,17.93,56.0,4.06
