Variable 1,Variable 2,Correlation,Full Question Variable 1,Full Question Variable 2,Fully written question
95: PUQ01[SQ005],96: PUQ01[SQ006],0.863393456,To what extent do you agree or disagree with the following statements? [Using LLMs makes it easier to do my job.],To what extent do you agree or disagree with the following statements? [I find LLMs useful in my job.],
91: PUQ01[SQ001],92: PUQ01[SQ002],0.858062728,To what extent do you agree or disagree with the following statements? [Using LLMs in my job enables me to accomplish tasks more quickly.],To what extent do you agree or disagree with the following statements? [Using LLMs improves my job performance.],
29: LitQ01[SQ004],31: LitQ01[SQ006],0.854075323,"Please rate your ability regarding the following statements: [In everyday life, I can interact with LLMs in a way that makes my tasks easier.]",Please rate your ability regarding the following statements: [I can communicate gainfully with LLMs in everyday life.],
78: CommQ01[SQ001],81: CommQ01[SQ004],0.853150685,"Community exchange  *Community: an informal network of people within or across organizations who voluntarily share common practice, expertise, and interests on specific topics. It is neither an organizational unit nor a team.  Please indicate how often you participate in the following activities within a professional community (as defined above).  [I meet with community* members to create innovative solutions for problems that occur in work.]","Community exchange  *Community: an informal network of people within or across organizations who voluntarily share common practice, expertise, and interests on specific topics. It is neither an organizational unit nor a team.  Please indicate how often you participate in the following activities within a professional community (as defined above).  [I meet with community members to work to encourage excellence in community’s practice.]",
94: PUQ01[SQ004],96: PUQ01[SQ006],0.846793594,To what extent do you agree or disagree with the following statements? [Using LLMs enhance my effectiveness on the job.],To what extent do you agree or disagree with the following statements? [I find LLMs useful in my job.],
28: LitQ01[SQ003],30: LitQ01[SQ005],0.845446848,Please rate your ability regarding the following statements: [I can use LLMs meaningfully to achieve my everyday goals.],"Please rate your ability regarding the following statements: [In everyday life, I can work together gainfully with an LLM.]",
48: GTCQ02[SQ001],49: GTCQ02[SQ002],0.841770402,The tasks I solve with colleagues... [... include much variety.],The tasks I solve with colleagues... [... mainly consist of solving complex problems.],
91: PUQ01[SQ001],93: PUQ01[SQ003],0.841045704,To what extent do you agree or disagree with the following statements? [Using LLMs in my job enables me to accomplish tasks more quickly.],To what extent do you agree or disagree with the following statements? [Using LLMs in my job increases my productivity.],
27: LitQ01[SQ002],28: LitQ01[SQ003],0.830795305,Please rate your ability regarding the following statements: [I can use LLM applications to make my everyday life easier.],Please rate your ability regarding the following statements: [I can use LLMs meaningfully to achieve my everyday goals.],
93: PUQ01[SQ003],96: PUQ01[SQ006],0.829671648,To what extent do you agree or disagree with the following statements? [Using LLMs in my job increases my productivity.],To what extent do you agree or disagree with the following statements? [I find LLMs useful in my job.],
28: LitQ01[SQ003],31: LitQ01[SQ006],0.822118721,Please rate your ability regarding the following statements: [I can use LLMs meaningfully to achieve my everyday goals.],Please rate your ability regarding the following statements: [I can communicate gainfully with LLMs in everyday life.],
27: LitQ01[SQ002],29: LitQ01[SQ004],0.818773939,Please rate your ability regarding the following statements: [I can use LLM applications to make my everyday life easier.],"Please rate your ability regarding the following statements: [In everyday life, I can interact with LLMs in a way that makes my tasks easier.]",
79: CommQ01[SQ002],81: CommQ01[SQ004],0.812155165,"Community exchange  *Community: an informal network of people within or across organizations who voluntarily share common practice, expertise, and interests on specific topics. It is neither an organizational unit nor a team.  Please indicate how often you participate in the following activities within a professional community (as defined above).  [I meet with community members to share own experience and practice on specific topics with common interests.]","Community exchange  *Community: an informal network of people within or across organizations who voluntarily share common practice, expertise, and interests on specific topics. It is neither an organizational unit nor a team.  Please indicate how often you participate in the following activities within a professional community (as defined above).  [I meet with community members to work to encourage excellence in community’s practice.]",
80: CommQ01[SQ003],81: CommQ01[SQ004],0.800370179,"Community exchange  *Community: an informal network of people within or across organizations who voluntarily share common practice, expertise, and interests on specific topics. It is neither an organizational unit nor a team.  Please indicate how often you participate in the following activities within a professional community (as defined above).  [I meet with community members to share success and failure stories on specific topics with common interests.]","Community exchange  *Community: an informal network of people within or across organizations who voluntarily share common practice, expertise, and interests on specific topics. It is neither an organizational unit nor a team.  Please indicate how often you participate in the following activities within a professional community (as defined above).  [I meet with community members to work to encourage excellence in community’s practice.]",
92: PUQ01[SQ002],95: PUQ01[SQ005],0.798434037,To what extent do you agree or disagree with the following statements? [Using LLMs improves my job performance.],To what extent do you agree or disagree with the following statements? [Using LLMs makes it easier to do my job.],
38: LitQ01[SQ013],39: LitQ01[SQ014],0.788154629,Please rate your ability regarding the following statements: [I can tell if I am dealing with an application based on LLMs. ],Please rate your ability regarding the following statements: [I can distinguish devices that use LLMs from devices that do not.],
85: PEUQ01[SQ001],87: PEUQ01[SQ003],0.78229799,To what extent do you agree or disagree with the following statements? [Learning to use LLMs is easy for me. ],To what extent do you agree or disagree with the following statements? [My interaction with LLMs is clear and understandable.],
92: PUQ01[SQ002],96: PUQ01[SQ006],0.780551002,To what extent do you agree or disagree with the following statements? [Using LLMs improves my job performance.],To what extent do you agree or disagree with the following statements? [I find LLMs useful in my job.],
91: PUQ01[SQ001],94: PUQ01[SQ004],0.769413669,To what extent do you agree or disagree with the following statements? [Using LLMs in my job enables me to accomplish tasks more quickly.],To what extent do you agree or disagree with the following statements? [Using LLMs enhance my effectiveness on the job.],
61: ILQ01[SQ009],62: ILQ01[SQ010],0.768074604,Please rate your agreement with the following statements: [I look at how others work in the company to improve my work.],Please rate your agreement with the following statements: [I ask my colleagues when I am not sure how well I worked.],
80: CommQ01[SQ003],84: CommQ01[SQ007],0.765436571,"Community exchange  *Community: an informal network of people within or across organizations who voluntarily share common practice, expertise, and interests on specific topics. It is neither an organizational unit nor a team.  Please indicate how often you participate in the following activities within a professional community (as defined above).  [I meet with community members to share success and failure stories on specific topics with common interests.]","Community exchange  *Community: an informal network of people within or across organizations who voluntarily share common practice, expertise, and interests on specific topics. It is neither an organizational unit nor a team.  Please indicate how often you participate in the following activities within a professional community (as defined above).  [I share ideas and thoughts on specific topics through company supported online community-of-practice system.]",
78: CommQ01[SQ001],80: CommQ01[SQ003],0.76409076,"Community exchange  *Community: an informal network of people within or across organizations who voluntarily share common practice, expertise, and interests on specific topics. It is neither an organizational unit nor a team.  Please indicate how often you participate in the following activities within a professional community (as defined above).  [I meet with community* members to create innovative solutions for problems that occur in work.]","Community exchange  *Community: an informal network of people within or across organizations who voluntarily share common practice, expertise, and interests on specific topics. It is neither an organizational unit nor a team.  Please indicate how often you participate in the following activities within a professional community (as defined above).  [I meet with community members to share success and failure stories on specific topics with common interests.]",
32: LitQ01[SQ007],33: LitQ01[SQ008],0.762385384,"Please rate your ability regarding the following statements: [I know the most important concepts of the topic ""artificial intelligence"".]",Please rate your ability regarding the following statements: [I know definitions of artificial intelligence.],
27: LitQ01[SQ002],30: LitQ01[SQ005],0.758752348,Please rate your ability regarding the following statements: [I can use LLM applications to make my everyday life easier.],"Please rate your ability regarding the following statements: [In everyday life, I can work together gainfully with an LLM.]",
56: ILQ01[SQ004],85: PEUQ01[SQ001],0.756443294,Please rate your agreement with the following statements: [I consult LLMs about which methods and tricks can be used for solving tasks.],To what extent do you agree or disagree with the following statements? [Learning to use LLMs is easy for me. ],1: I consult LLMs about which methods and tricks can be used for solving tasks. 2: Learning to use LLMs is easy for me.
85: PEUQ01[SQ001],89: PEUQ01[SQ005],0.752324168,To what extent do you agree or disagree with the following statements? [Learning to use LLMs is easy for me. ],To what extent do you agree or disagree with the following statements? [It is easy for me to become skillful at using LLMs.],
87: PEUQ01[SQ003],89: PEUQ01[SQ005],0.747695759,To what extent do you agree or disagree with the following statements? [My interaction with LLMs is clear and understandable.],To what extent do you agree or disagree with the following statements? [It is easy for me to become skillful at using LLMs.],
87: PEUQ01[SQ003],88: PEUQ01[SQ004],0.745655031,To what extent do you agree or disagree with the following statements? [My interaction with LLMs is clear and understandable.],To what extent do you agree or disagree with the following statements? [I find LLMs to be clear and understandable.],
31: LitQ01[SQ006],85: PEUQ01[SQ001],0.742052791,Please rate your ability regarding the following statements: [I can communicate gainfully with LLMs in everyday life.],To what extent do you agree or disagree with the following statements? [Learning to use LLMs is easy for me. ],1: I can communicate gainfully with LLMs in everyday life. 2: Learning to use LLMs is easy for me.
79: CommQ01[SQ002],80: CommQ01[SQ003],0.733526353,"Community exchange  *Community: an informal network of people within or across organizations who voluntarily share common practice, expertise, and interests on specific topics. It is neither an organizational unit nor a team.  Please indicate how often you participate in the following activities within a professional community (as defined above).  [I meet with community members to share own experience and practice on specific topics with common interests.]","Community exchange  *Community: an informal network of people within or across organizations who voluntarily share common practice, expertise, and interests on specific topics. It is neither an organizational unit nor a team.  Please indicate how often you participate in the following activities within a professional community (as defined above).  [I meet with community members to share success and failure stories on specific topics with common interests.]",
27: LitQ01[SQ002],31: LitQ01[SQ006],0.727847224,Please rate your ability regarding the following statements: [I can use LLM applications to make my everyday life easier.],Please rate your ability regarding the following statements: [I can communicate gainfully with LLMs in everyday life.],
27: LitQ01[SQ002],91: PUQ01[SQ001],0.7271871,Please rate your ability regarding the following statements: [I can use LLM applications to make my everyday life easier.],To what extent do you agree or disagree with the following statements? [Using LLMs in my job enables me to accomplish tasks more quickly.],1: I can use LLM applications to make my everyday life easier. 2: Using LLMs in my job enables me to accomplish tasks more quickly.
34: LitQ01[SQ009],35: LitQ01[SQ010],0.721866667,Please rate your ability regarding the following statements: [I can assess what the limitations and opportunities of using an LLM are.],Please rate your ability regarding the following statements: [I can assess what advantages and disadvantages the use of an LLM entails.],
20: DemQ51[SQ001],23: DemQ51[SQ004],0.719086673,Please rate the extent to which your main occupation involves the following: [Making significant decisions that affect my team/department/organization.],Please rate the extent to which your main occupation involves the following: [Responsibility for key projects or deliverables.],
20: DemQ51[SQ001],22: DemQ51[SQ003],0.718787072,Please rate the extent to which your main occupation involves the following: [Making significant decisions that affect my team/department/organization.],Please rate the extent to which your main occupation involves the following: [Supervising or leading other employees.],
30: LitQ01[SQ005],95: PUQ01[SQ005],0.715854661,"Please rate your ability regarding the following statements: [In everyday life, I can work together gainfully with an LLM.]",To what extent do you agree or disagree with the following statements? [Using LLMs makes it easier to do my job.],
27: LitQ01[SQ002],85: PEUQ01[SQ001],0.713460844,Please rate your ability regarding the following statements: [I can use LLM applications to make my everyday life easier.],To what extent do you agree or disagree with the following statements? [Learning to use LLMs is easy for me. ],1: I can use LLM applications to make my everyday life easier. 2: Learning to use LLMs is easy for me.
26: LitQ01[SQ001],27: LitQ01[SQ002],0.711172305,Please rate your ability regarding the following statements: [I can operate LLM applications in everyday life.],Please rate your ability regarding the following statements: [I can use LLM applications to make my everyday life easier.],
91: PUQ01[SQ001],95: PUQ01[SQ005],0.710064186,To what extent do you agree or disagree with the following statements? [Using LLMs in my job enables me to accomplish tasks more quickly.],To what extent do you agree or disagree with the following statements? [Using LLMs makes it easier to do my job.],
29: LitQ01[SQ004],91: PUQ01[SQ001],0.708037224,"Please rate your ability regarding the following statements: [In everyday life, I can interact with LLMs in a way that makes my tasks easier.]",To what extent do you agree or disagree with the following statements? [Using LLMs in my job enables me to accomplish tasks more quickly.],
82: CommQ01[SQ005],84: CommQ01[SQ007],0.707419266,"Community exchange  *Community: an informal network of people within or across organizations who voluntarily share common practice, expertise, and interests on specific topics. It is neither an organizational unit nor a team.  Please indicate how often you participate in the following activities within a professional community (as defined above).  [I support personal development of new community members.]","Community exchange  *Community: an informal network of people within or across organizations who voluntarily share common practice, expertise, and interests on specific topics. It is neither an organizational unit nor a team.  Please indicate how often you participate in the following activities within a professional community (as defined above).  [I share ideas and thoughts on specific topics through company supported online community-of-practice system.]",
92: PUQ01[SQ002],97: PUQ01[SQ007],0.706282007,To what extent do you agree or disagree with the following statements? [Using LLMs improves my job performance.],To what extent do you agree or disagree with the following statements? [I trust the information generated by LLMs in my job.],
85: PEUQ01[SQ001],91: PUQ01[SQ001],0.706267088,To what extent do you agree or disagree with the following statements? [Learning to use LLMs is easy for me. ],To what extent do you agree or disagree with the following statements? [Using LLMs in my job enables me to accomplish tasks more quickly.],
86: PEUQ01[SQ002],87: PEUQ01[SQ003],0.706177751,To what extent do you agree or disagree with the following statements? [I find it easy to get LLMs to do what I want it to do.],To what extent do you agree or disagree with the following statements? [My interaction with LLMs is clear and understandable.],
27: LitQ01[SQ002],41: UseQ01[SQ001],0.705735586,Please rate your ability regarding the following statements: [I can use LLM applications to make my everyday life easier.],How often do you use generative AI tools (such as ChatGPT) at work? [],1: I can use LLM applications to make my everyday life easier.
30: LitQ01[SQ005],94: PUQ01[SQ004],0.705034032,"Please rate your ability regarding the following statements: [In everyday life, I can work together gainfully with an LLM.]",To what extent do you agree or disagree with the following statements? [Using LLMs enhance my effectiveness on the job.],
30: LitQ01[SQ005],93: PUQ01[SQ003],0.701865659,"Please rate your ability regarding the following statements: [In everyday life, I can work together gainfully with an LLM.]",To what extent do you agree or disagree with the following statements? [Using LLMs in my job increases my productivity.],
29: LitQ01[SQ004],93: PUQ01[SQ003],0.701836614,"Please rate your ability regarding the following statements: [In everyday life, I can interact with LLMs in a way that makes my tasks easier.]",To what extent do you agree or disagree with the following statements? [Using LLMs in my job increases my productivity.],
62: ILQ01[SQ010],63: ILQ01[SQ011],0.698475233,Please rate your agreement with the following statements: [I ask my colleagues when I am not sure how well I worked.],Please rate your agreement with the following statements: [I ask my colleagues about the methods and tricks they use at work.],
58: ILQ01[SQ006],75: OrgQ01[SQ006],0.695971232,"Please rate your agreement with the following statements: [After finishing a task, I think about how to solve the next one more efficiently and more precisely.]",Organizational communications Please indicate how often you engage in the following organizational communication practices with colleagues. [I share experiences that may help others avoid risks and trouble through personal conversation.],
31: LitQ01[SQ006],95: PUQ01[SQ005],0.692459392,Please rate your ability regarding the following statements: [I can communicate gainfully with LLMs in everyday life.],To what extent do you agree or disagree with the following statements? [Using LLMs makes it easier to do my job.],
31: LitQ01[SQ006],94: PUQ01[SQ004],0.689181404,Please rate your ability regarding the following statements: [I can communicate gainfully with LLMs in everyday life.],To what extent do you agree or disagree with the following statements? [Using LLMs enhance my effectiveness on the job.],
51: GTCQ02[SQ004],52: GTCQ02[SQ005],0.687214542,The tasks I solve with colleagues... [... require the assessment of a large amount of information/alternatives.],The tasks I solve with colleagues... [... consist of numerous different elements.],
29: LitQ01[SQ004],85: PEUQ01[SQ001],0.685484551,"Please rate your ability regarding the following statements: [In everyday life, I can interact with LLMs in a way that makes my tasks easier.]",To what extent do you agree or disagree with the following statements? [Learning to use LLMs is easy for me. ],2: Learning to use LLMs is easy for me.
27: LitQ01[SQ002],87: PEUQ01[SQ003],0.684652475,Please rate your ability regarding the following statements: [I can use LLM applications to make my everyday life easier.],To what extent do you agree or disagree with the following statements? [My interaction with LLMs is clear and understandable.],1: I can use LLM applications to make my everyday life easier. 2: My interaction with LLMs is clear and understandable.
28: LitQ01[SQ003],91: PUQ01[SQ001],0.682205291,Please rate your ability regarding the following statements: [I can use LLMs meaningfully to achieve my everyday goals.],To what extent do you agree or disagree with the following statements? [Using LLMs in my job enables me to accomplish tasks more quickly.],
58: ILQ01[SQ006],65: ILQ01[SQ013],0.68125949,"Please rate your agreement with the following statements: [After finishing a task, I think about how to solve the next one more efficiently and more precisely.]","Please rate your agreement with the following statements: [When I have finished a new task, I think about what I still could do better next time.]",
24: DemQ51[SQ005],25: DemQ51[SQ006],0.68119523,Please rate the extent to which your main occupation involves the following: [Autonomy in how I carry out my work.],Please rate the extent to which your main occupation involves the following: [Accountability for meeting specific targets or outcomes.],
57: ILQ01[SQ005],64: ILQ01[SQ012],0.681119741,"Please rate your agreement with the following statements: [Before starting with a new task, I think about how to solve it in the best way possible.]","Please rate your agreement with the following statements: [Before starting a new task, I think about how I can do my work best.]",
41: UseQ01[SQ001],55: ILQ01[SQ003],0.680998421,How often do you use generative AI tools (such as ChatGPT) at work? [],Please rate your agreement with the following statements: [I consult LLMs when I am not sure about how well I solved a task myself.],
26: LitQ01[SQ001],29: LitQ01[SQ004],0.680706437,Please rate your ability regarding the following statements: [I can operate LLM applications in everyday life.],"Please rate your ability regarding the following statements: [In everyday life, I can interact with LLMs in a way that makes my tasks easier.]",
31: LitQ01[SQ006],92: PUQ01[SQ002],0.68051048,Please rate your ability regarding the following statements: [I can communicate gainfully with LLMs in everyday life.],To what extent do you agree or disagree with the following statements? [Using LLMs improves my job performance.],
31: LitQ01[SQ006],91: PUQ01[SQ001],0.680295693,Please rate your ability regarding the following statements: [I can communicate gainfully with LLMs in everyday life.],To what extent do you agree or disagree with the following statements? [Using LLMs in my job enables me to accomplish tasks more quickly.],
28: LitQ01[SQ003],87: PEUQ01[SQ003],0.676983323,Please rate your ability regarding the following statements: [I can use LLMs meaningfully to achieve my everyday goals.],To what extent do you agree or disagree with the following statements? [My interaction with LLMs is clear and understandable.],2: My interaction with LLMs is clear and understandable.
23: DemQ51[SQ004],25: DemQ51[SQ006],0.675521546,Please rate the extent to which your main occupation involves the following: [Responsibility for key projects or deliverables.],Please rate the extent to which your main occupation involves the following: [Accountability for meeting specific targets or outcomes.],
29: LitQ01[SQ004],41: UseQ01[SQ001],0.671821397,"Please rate your ability regarding the following statements: [In everyday life, I can interact with LLMs in a way that makes my tasks easier.]",How often do you use generative AI tools (such as ChatGPT) at work? [],
86: PEUQ01[SQ002],90: PEUQ01[SQ006],0.670832816,To what extent do you agree or disagree with the following statements? [I find it easy to get LLMs to do what I want it to do.],To what extent do you agree or disagree with the following statements? [I find LLMs easy to use.],
20: DemQ51[SQ001],78: CommQ01[SQ001],0.666933068,Please rate the extent to which your main occupation involves the following: [Making significant decisions that affect my team/department/organization.],"Community exchange  *Community: an informal network of people within or across organizations who voluntarily share common practice, expertise, and interests on specific topics. It is neither an organizational unit nor a team.  Please indicate how often you participate in the following activities within a professional community (as defined above).  [I meet with community* members to create innovative solutions for problems that occur in work.]",
30: LitQ01[SQ005],85: PEUQ01[SQ001],0.666301597,"Please rate your ability regarding the following statements: [In everyday life, I can work together gainfully with an LLM.]",To what extent do you agree or disagree with the following statements? [Learning to use LLMs is easy for me. ],2: Learning to use LLMs is easy for me.
85: PEUQ01[SQ001],92: PUQ01[SQ002],0.662648967,To what extent do you agree or disagree with the following statements? [Learning to use LLMs is easy for me. ],To what extent do you agree or disagree with the following statements? [Using LLMs improves my job performance.],
91: PUQ01[SQ001],96: PUQ01[SQ006],0.662007852,To what extent do you agree or disagree with the following statements? [Using LLMs in my job enables me to accomplish tasks more quickly.],To what extent do you agree or disagree with the following statements? [I find LLMs useful in my job.],
61: ILQ01[SQ009],63: ILQ01[SQ011],0.661241786,Please rate your agreement with the following statements: [I look at how others work in the company to improve my work.],Please rate your agreement with the following statements: [I ask my colleagues about the methods and tricks they use at work.],
41: UseQ01[SQ001],96: PUQ01[SQ006],0.660519707,How often do you use generative AI tools (such as ChatGPT) at work? [],To what extent do you agree or disagree with the following statements? [I find LLMs useful in my job.],
30: LitQ01[SQ005],91: PUQ01[SQ001],0.658926602,"Please rate your ability regarding the following statements: [In everyday life, I can work together gainfully with an LLM.]",To what extent do you agree or disagree with the following statements? [Using LLMs in my job enables me to accomplish tasks more quickly.],
36: LitQ01[SQ011],37: LitQ01[SQ012],0.655253538,Please rate your ability regarding the following statements: [I can think of new uses for LLMs.],Please rate your ability regarding the following statements: [I can imagine possible future uses of LLMs.],
30: LitQ01[SQ005],56: ILQ01[SQ004],0.654750517,"Please rate your ability regarding the following statements: [In everyday life, I can work together gainfully with an LLM.]",Please rate your agreement with the following statements: [I consult LLMs about which methods and tricks can be used for solving tasks.],
30: LitQ01[SQ005],96: PUQ01[SQ006],0.654721643,"Please rate your ability regarding the following statements: [In everyday life, I can work together gainfully with an LLM.]",To what extent do you agree or disagree with the following statements? [I find LLMs useful in my job.],
72: OrgQ01[SQ003],74: OrgQ01[SQ005],0.649381835,"Organizational communications Please indicate how often you engage in the following organizational communication practices with colleagues. [I spend time in personal conversation (e.g., discussion in hallway, over lunch, through call) with others to help them with their work-related problems. ]",Organizational communications Please indicate how often you engage in the following organizational communication practices with colleagues. [I share passion and excitement on some specific subjects with others through personal conversation.],
31: LitQ01[SQ006],93: PUQ01[SQ003],0.649171421,Please rate your ability regarding the following statements: [I can communicate gainfully with LLMs in everyday life.],To what extent do you agree or disagree with the following statements? [Using LLMs in my job increases my productivity.],
28: LitQ01[SQ003],41: UseQ01[SQ001],0.648603622,Please rate your ability regarding the following statements: [I can use LLMs meaningfully to achieve my everyday goals.],How often do you use generative AI tools (such as ChatGPT) at work? [],
88: PEUQ01[SQ004],97: PUQ01[SQ007],0.64768362,To what extent do you agree or disagree with the following statements? [I find LLMs to be clear and understandable.],To what extent do you agree or disagree with the following statements? [I trust the information generated by LLMs in my job.],
31: LitQ01[SQ006],87: PEUQ01[SQ003],0.647521943,Please rate your ability regarding the following statements: [I can communicate gainfully with LLMs in everyday life.],To what extent do you agree or disagree with the following statements? [My interaction with LLMs is clear and understandable.],2: My interaction with LLMs is clear and understandable.
29: LitQ01[SQ004],95: PUQ01[SQ005],0.647312492,"Please rate your ability regarding the following statements: [In everyday life, I can interact with LLMs in a way that makes my tasks easier.]",To what extent do you agree or disagree with the following statements? [Using LLMs makes it easier to do my job.],
29: LitQ01[SQ004],92: PUQ01[SQ002],0.647043615,"Please rate your ability regarding the following statements: [In everyday life, I can interact with LLMs in a way that makes my tasks easier.]",To what extent do you agree or disagree with the following statements? [Using LLMs improves my job performance.],
43: GTCQ01[SQ001],44: GTCQ01[SQ002],0.646046415,The tasks I solve using LLMs... [... include much variety.],The tasks I solve using LLMs... [... mainly consist of solving complex problems.],
31: LitQ01[SQ006],96: PUQ01[SQ006],0.645619565,Please rate your ability regarding the following statements: [I can communicate gainfully with LLMs in everyday life.],To what extent do you agree or disagree with the following statements? [I find LLMs useful in my job.],
79: CommQ01[SQ002],82: CommQ01[SQ005],0.64508919,"Community exchange  *Community: an informal network of people within or across organizations who voluntarily share common practice, expertise, and interests on specific topics. It is neither an organizational unit nor a team.  Please indicate how often you participate in the following activities within a professional community (as defined above).  [I meet with community members to share own experience and practice on specific topics with common interests.]","Community exchange  *Community: an informal network of people within or across organizations who voluntarily share common practice, expertise, and interests on specific topics. It is neither an organizational unit nor a team.  Please indicate how often you participate in the following activities within a professional community (as defined above).  [I support personal development of new community members.]",
38: LitQ01[SQ013],85: PEUQ01[SQ001],0.642435879,Please rate your ability regarding the following statements: [I can tell if I am dealing with an application based on LLMs. ],To what extent do you agree or disagree with the following statements? [Learning to use LLMs is easy for me. ],2: Learning to use LLMs is easy for me.
93: PUQ01[SQ003],97: PUQ01[SQ007],0.637939766,To what extent do you agree or disagree with the following statements? [Using LLMs in my job increases my productivity.],To what extent do you agree or disagree with the following statements? [I trust the information generated by LLMs in my job.],
41: UseQ01[SQ001],91: PUQ01[SQ001],0.637678566,How often do you use generative AI tools (such as ChatGPT) at work? [],To what extent do you agree or disagree with the following statements? [Using LLMs in my job enables me to accomplish tasks more quickly.],
30: LitQ01[SQ005],92: PUQ01[SQ002],0.637450331,"Please rate your ability regarding the following statements: [In everyday life, I can work together gainfully with an LLM.]",To what extent do you agree or disagree with the following statements? [Using LLMs improves my job performance.],
56: ILQ01[SQ004],87: PEUQ01[SQ003],0.636021844,Please rate your agreement with the following statements: [I consult LLMs about which methods and tricks can be used for solving tasks.],To what extent do you agree or disagree with the following statements? [My interaction with LLMs is clear and understandable.],2: My interaction with LLMs is clear and understandable.
22: DemQ51[SQ003],23: DemQ51[SQ004],0.635558918,Please rate the extent to which your main occupation involves the following: [Supervising or leading other employees.],Please rate the extent to which your main occupation involves the following: [Responsibility for key projects or deliverables.],
27: LitQ01[SQ002],93: PUQ01[SQ003],0.635491532,Please rate your ability regarding the following statements: [I can use LLM applications to make my everyday life easier.],To what extent do you agree or disagree with the following statements? [Using LLMs in my job increases my productivity.],1: I can use LLM applications to make my everyday life easier.
29: LitQ01[SQ004],96: PUQ01[SQ006],0.63430891,"Please rate your ability regarding the following statements: [In everyday life, I can interact with LLMs in a way that makes my tasks easier.]",To what extent do you agree or disagree with the following statements? [I find LLMs useful in my job.],
35: LitQ01[SQ010],85: PEUQ01[SQ001],0.634257118,Please rate your ability regarding the following statements: [I can assess what advantages and disadvantages the use of an LLM entails.],To what extent do you agree or disagree with the following statements? [Learning to use LLMs is easy for me. ],
38: LitQ01[SQ013],56: ILQ01[SQ004],0.633742532,Please rate your ability regarding the following statements: [I can tell if I am dealing with an application based on LLMs. ],Please rate your agreement with the following statements: [I consult LLMs about which methods and tricks can be used for solving tasks.],
55: ILQ01[SQ003],59: ILQ01[SQ007],0.627358051,Please rate your agreement with the following statements: [I consult LLMs when I am not sure about how well I solved a task myself.],"Please rate your agreement with the following statements: [While solving a task, I want to learn something from LLMs, so that I can use that knowledge to solve the following task better.]",
85: PEUQ01[SQ001],88: PEUQ01[SQ004],0.626841031,To what extent do you agree or disagree with the following statements? [Learning to use LLMs is easy for me. ],To what extent do you agree or disagree with the following statements? [I find LLMs to be clear and understandable.],
31: LitQ01[SQ006],56: ILQ01[SQ004],0.626818592,Please rate your ability regarding the following statements: [I can communicate gainfully with LLMs in everyday life.],Please rate your agreement with the following statements: [I consult LLMs about which methods and tricks can be used for solving tasks.],
61: ILQ01[SQ009],65: ILQ01[SQ013],0.626456715,Please rate your agreement with the following statements: [I look at how others work in the company to improve my work.],"Please rate your agreement with the following statements: [When I have finished a new task, I think about what I still could do better next time.]",
